spotify_uri;name
e0a046e2-9d75-4a73-abe8-58799c34ad7a;networks payment standardization
eae8b41d-6468-4aa5-b5e3-a3116646a94c;interface feed Account
a7a1d96a-1c56-4acb-9926-a2ea4dd5acdb;alarm
29ebcbfd-4f44-4259-87f2-20fb804944d2;Louisiana
1df7fd88-6306-4e39-96c5-c3d5e5ad351b;override
eaa87efc-e6b2-4f88-9d03-ad5f471b035b;Ridge Rustic
314e1efb-7043-4bfe-acf4-2ce4080be73a;Loan
507dded3-48c2-4db9-bfcd-25785942de14;hack compress haptic
42fe054a-2093-408e-a823-7b94551b1341;Representative
6f9b5f30-e82e-4496-8bdb-5ab8f97a053c;Chair Pants
