id;folder_id;spotify_uri;add_time
1;indigo Cotton;interface Tools Chips;2024-02-25T20:18:50
2;Sausages Internal;Tools empower;2024-02-26T03:37:04
3;overriding schemas Liaison;payment optical;2024-02-26T13:18:19
4;Handcrafted connecting;Synergized e-commerce;2024-02-26T07:08:44
5;reboot;AI Multi-lateral;2024-02-25T16:41:16
6;Directives wireless distributed;Isle;2024-02-25T22:24:11
7;synthesize;installation Sleek action-items;2024-02-26T09:12:08
8;Senior;Cambridgeshire;2024-02-26T05:17:20
9;Analyst;Oklahoma bluetooth content;2024-02-26T00:33:50
10;Specialist;Automotive Market;2024-02-26T00:37:24
