id;spotify_uri;user_id;add_time
1;Cambridgeshire;green withdrawal;2024-02-27T08:53:48
2;Realigned;Cuba Plastic;2024-02-26T17:59:19
3;driver;solid Communications;2024-02-27T09:08:31
4;Accounts Refined;Cambridgeshire;2024-02-27T15:10:08
5;parsing;bypass Ball;2024-02-27T01:23:03
6;Group digital Mongolia;executive Ball;2024-02-26T19:29:17
7;alarm GB AGP;Guinea disintermediate;2024-02-27T06:42:42
8;e-business hour Direct;Arkansas;2024-02-27T09:36:45
9;B2C Upgradable;bypass card;2024-02-27T07:37:26
10;Fish quantify;feed Cambridgeshire;2024-02-27T01:19:22
